Epoch [93/450], Loss-Train: 0.1701, Accuracy-Train: 0.9290, Loss-Test: 0.1842, Accuracy-Test: 0.9318
Epoch [94/450], Loss-Train: 0.1652, Accuracy-Train: 0.9302, Loss-Test: 0.1810, Accuracy-Test: 0.9303
Epoch [95/450], Loss-Train: 0.1733, Accuracy-Train: 0.9261, Loss-Test: 0.1788, Accuracy-Test: 0.9303
Epoch [96/450], Loss-Train: 0.1678, Accuracy-Train: 0.9279, Loss-Test: 0.2059, Accuracy-Test: 0.9154
Epoch [97/450], Loss-Train: 0.1624, Accuracy-Train: 0.9331, Loss-Test: 0.1844, Accuracy-Test: 0.9318
Epoch [98/450], Loss-Train: 0.1637, Accuracy-Train: 0.9313, Loss-Test: 0.1755, Accuracy-Test: 0.9288
Epoch [99/450], Loss-Train: 0.1640, Accuracy-Train: 0.9342, Loss-Test: 0.1791, Accuracy-Test: 0.9318
Epoch [100/450], Loss-Train: 0.1677, Accuracy-Train: 0.9283, Loss-Test: 0.1755, Accuracy-Test: 0.9303
Epoch [101/450], Loss-Train: 0.1681, Accuracy-Train: 0.9290, Loss-Test: 0.1847, Accuracy-Test: 0.9288
Epoch [102/450], Loss-Train: 0.1647, Accuracy-Train: 0.9298, Loss-Test: 0.1738, Accuracy-Test: 0.9303
Epoch [103/450], Loss-Train: 0.1692, Accuracy-Train: 0.9313, Loss-Test: 0.1750, Accuracy-Test: 0.9288
Epoch [104/450], Loss-Train: 0.1676, Accuracy-Train: 0.9261, Loss-Test: 0.1820, Accuracy-Test: 0.9303
Epoch [105/450], Loss-Train: 0.1742, Accuracy-Train: 0.9294, Loss-Test: 0.1812, Accuracy-Test: 0.9273
Epoch [106/450], Loss-Train: 0.1644, Accuracy-Train: 0.9339, Loss-Test: 0.1812, Accuracy-Test: 0.9303
Epoch [107/450], Loss-Train: 0.1677, Accuracy-Train: 0.9302, Loss-Test: 0.1813, Accuracy-Test: 0.9303
Epoch [108/450], Loss-Train: 0.1679, Accuracy-Train: 0.9276, Loss-Test: 0.1809, Accuracy-Test: 0.9303
Epoch [109/450], Loss-Train: 0.1638, Accuracy-Train: 0.9305, Loss-Test: 0.1761, Accuracy-Test: 0.9332
Epoch [110/450], Loss-Train: 0.1648, Accuracy-Train: 0.9313, Loss-Test: 0.1773, Accuracy-Test: 0.9273
Epoch [111/450], Loss-Train: 0.1667, Accuracy-Train: 0.9287, Loss-Test: 0.1724, Accuracy-Test: 0.9288
Epoch [112/450], Loss-Train: 0.1617, Accuracy-Train: 0.9335, Loss-Test: 0.1701, Accuracy-Test: 0.9303
Epoch [113/450], Loss-Train: 0.1659, Accuracy-Train: 0.9324, Loss-Test: 0.1739, Accuracy-Test: 0.9288
Epoch [114/450], Loss-Train: 0.1627, Accuracy-Train: 0.9313, Loss-Test: 0.1771, Accuracy-Test: 0.9273
Epoch [115/450], Loss-Train: 0.1625, Accuracy-Train: 0.9328, Loss-Test: 0.1894, Accuracy-Test: 0.9258
Epoch [116/450], Loss-Train: 0.1647, Accuracy-Train: 0.9309, Loss-Test: 0.1763, Accuracy-Test: 0.9303
Epoch [117/450], Loss-Train: 0.1626, Accuracy-Train: 0.9268, Loss-Test: 0.1814, Accuracy-Test: 0.9332
Epoch [118/450], Loss-Train: 0.1584, Accuracy-Train: 0.9320, Loss-Test: 0.1751, Accuracy-Test: 0.9347
Epoch [119/450], Loss-Train: 0.1628, Accuracy-Train: 0.9302, Loss-Test: 0.1769, Accuracy-Test: 0.9332
Epoch [120/450], Loss-Train: 0.1614, Accuracy-Train: 0.9305, Loss-Test: 0.1873, Accuracy-Test: 0.9288
Epoch [121/450], Loss-Train: 0.1637, Accuracy-Train: 0.9331, Loss-Test: 0.1720, Accuracy-Test: 0.9332
Epoch [122/450], Loss-Train: 0.1650, Accuracy-Train: 0.9290, Loss-Test: 0.1802, Accuracy-Test: 0.9243
Epoch [123/450], Loss-Train: 0.1635, Accuracy-Train: 0.9313, Loss-Test: 0.1797, Accuracy-Test: 0.9288
Epoch [124/450], Loss-Train: 0.1730, Accuracy-Train: 0.9235, Loss-Test: 0.1855, Accuracy-Test: 0.9288
Epoch [125/450], Loss-Train: 0.1659, Accuracy-Train: 0.9298, Loss-Test: 0.1748, Accuracy-Test: 0.9288
Epoch [126/450], Loss-Train: 0.1661, Accuracy-Train: 0.9283, Loss-Test: 0.1809, Accuracy-Test: 0.9288
Epoch [127/450], Loss-Train: 0.1663, Accuracy-Train: 0.9305, Loss-Test: 0.1741, Accuracy-Test: 0.9288
Epoch [128/450], Loss-Train: 0.1606, Accuracy-Train: 0.9324, Loss-Test: 0.1708, Accuracy-Test: 0.9303
Epoch [129/450], Loss-Train: 0.1629, Accuracy-Train: 0.9309, Loss-Test: 0.1769, Accuracy-Test: 0.9258
Epoch [130/450], Loss-Train: 0.1671, Accuracy-Train: 0.9272, Loss-Test: 0.1843, Accuracy-Test: 0.9303
Epoch [131/450], Loss-Train: 0.1675, Accuracy-Train: 0.9287, Loss-Test: 0.1867, Accuracy-Test: 0.9288
Epoch [132/450], Loss-Train: 0.1689, Accuracy-Train: 0.9290, Loss-Test: 0.1926, Accuracy-Test: 0.9243
Epoch [133/450], Loss-Train: 0.1648, Accuracy-Train: 0.9313, Loss-Test: 0.1775, Accuracy-Test: 0.9347
