Epoch [143/500], Loss-Train: 0.2356, Accuracy-Train: 0.9022, Loss-Test: 0.4727, Accuracy-Test: 2.3063
Epoch [144/500], Loss-Train: 0.2395, Accuracy-Train: 0.9009, Loss-Test: 0.4766, Accuracy-Test: 2.3049
Epoch [145/500], Loss-Train: 0.2361, Accuracy-Train: 0.9029, Loss-Test: 0.4724, Accuracy-Test: 2.3079
Epoch [146/500], Loss-Train: 0.2457, Accuracy-Train: 0.8978, Loss-Test: 0.8670, Accuracy-Test: 1.7987
Epoch [147/500], Loss-Train: 0.2343, Accuracy-Train: 0.9034, Loss-Test: 0.4760, Accuracy-Test: 2.3037
Epoch [148/500], Loss-Train: 0.2648, Accuracy-Train: 0.8894, Loss-Test: 0.6500, Accuracy-Test: 2.2840
Epoch [149/500], Loss-Train: 0.2466, Accuracy-Train: 0.8969, Loss-Test: 0.6770, Accuracy-Test: 2.2933
Epoch [150/500], Loss-Train: 0.2468, Accuracy-Train: 0.8973, Loss-Test: 0.4881, Accuracy-Test: 2.3014
Epoch [151/500], Loss-Train: 0.2297, Accuracy-Train: 0.9037, Loss-Test: 1.0571, Accuracy-Test: 1.8102
Epoch [152/500], Loss-Train: 0.2346, Accuracy-Train: 0.9045, Loss-Test: 0.5985, Accuracy-Test: 2.3128
Epoch [153/500], Loss-Train: 0.2273, Accuracy-Train: 0.9050, Loss-Test: 0.4553, Accuracy-Test: 2.3116
Epoch [154/500], Loss-Train: 0.2246, Accuracy-Train: 0.9068, Loss-Test: 0.9648, Accuracy-Test: 1.8169
Epoch [155/500], Loss-Train: 0.2233, Accuracy-Train: 0.9089, Loss-Test: 0.8207, Accuracy-Test: 1.8170
Epoch [156/500], Loss-Train: 0.2247, Accuracy-Train: 0.9072, Loss-Test: 0.4494, Accuracy-Test: 2.3154
Epoch [157/500], Loss-Train: 0.2251, Accuracy-Train: 0.9068, Loss-Test: 1.0001, Accuracy-Test: 1.8157
Epoch [158/500], Loss-Train: 0.2284, Accuracy-Train: 0.9060, Loss-Test: 0.4567, Accuracy-Test: 2.3146
